0	Affenpinscher	Toy	9	6, 13	10, 12
1	Afghan Hound	Hound	25, 27	50, 60	10, 13
2	Airedale Terrier	Terrier	21, 23	40, 65	10, 13
3	Akbash Dog	Working	28, 34	90, 120	10, 12
4	Alapaha Blue Blood Bulldog	Mixes and More	18, 24	55, 90	12, 13
5	Alaskan Husky	Mixes and More		38, 50	10, 13
6	Alaskan Malamute	Working	23, 25	65, 100	12, 15
7	American Bulldog	Working	22, 27	60, 120	10, 12
8	American Foxhound	Hound	21, 28	65, 75	8, 15
9	American Pit Bull Terrier	Terrier	17, 21	30, 60	10, 15
10	American Staffordshire Terrier	Terrier	17, 19	50, 60	12, 15
11	American Water Spaniel	Sporting	15, 18	25, 45	10, 12
12	Australian Cattle Dog	Herding	17, 20	44, 62	12, 14
13	Australian Kelpie	Herding	20	31, 46	10, 13
14	Australian Shepherd	Herding	18, 23	35, 65	12, 16
15	Australian Terrier	Terrier	10, 11	14, 16	15
16	Azawakh	Hound	23, 29	33, 55	10, 13
17	Basenji	Hound	16, 17	22, 24	10, 12
18	Basset Bleu de Gascogne	Hound	13, 15	35, 40	10, 14
19	Basset Hound	Hound	14	50, 65	12, 15
20	Beagle	Hound	13, 13, 15	20, 35	13, 16
21	Bearded Collie	Herding	20, 22	45, 55	12, 14
22	Beauceron	Herding	24	80, 110	10, 12
23	Bedlington Terrier	Terrier	15, 16	17, 23	14, 16
24	Bergamasco	Herding	22	55, 85	13, 15
25	Bernese Mountain Dog	Working	23	65, 120	7, 10
26	Bichon Frise	Non-Sporting		10, 18	15
27	Black and Tan Coonhound	Hound	23, 27	65, 100	10, 12
28	Black Russian Terrier	Working	26, 30	80, 145	10, 11
29	Bloodhound	Hound	23, 27	80, 110	8, 10
30	Blue Picardy Spaniel	Sporting	22, 24	55, 70	9, 13
31	Bluetick Coonhound	Hound	21, 27	45, 80	12, 14
32	Boerboel	Working	22, 27	110, 200	10, 12
33	Bolognese	Toy	9, 12	7, 12	13, 15
34	Border Collie	Herding	18, 22	30, 45	12, 16
35	Border Terrier	Terrier			12, 14
36	Borzoi	Hound	26, 28	55, 120	10, 13
37	Boston Terrier	Non-Sporting		10, 25	11, 13
38	Bouvier des Flandres	Herding		70, 110	10, 15
39	Boxer	Working	25	50, 70	8, 10
40	Boykin Spaniel	Sporting	14, 18	25, 40	10, 14
41	Bracco Italiano	Sporting		55, 88	10, 12
42	Briard	Herding	22, 27	70, 90	10, 12
43	Brussels Griffon	Toy		8, 12	12, 15
44	Bull Terrier	Terrier	21, 22	50, 70	10, 12
45	Bulldog	Non-Sporting		40, 50	8, 10
46	Bullmastiff	Working	24, 27	100, 130	8, 12
47	Cairn Terrier	Terrier	9, 10	13, 14	14, 15
48	Canaan Dog	Herding	19, 24	35, 55	12, 14
